City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,69.46,80,94,1.86,US,2022-07-28 03:50:22
1,Mataura,-46.1927,168.8643,47.48,98,100,3.78,NZ,2022-07-28 03:50:40
2,San Luis,-33.295,-66.3356,43.84,89,99,7.29,AR,2022-07-28 03:50:41
3,Saint-Pierre,-21.3393,55.4781,69.91,69,20,5.75,RE,2022-07-28 03:49:17
4,Bambous Virieux,-20.3428,57.7575,69.22,88,40,6.91,MU,2022-07-28 03:50:41
5,Qaanaaq,77.484,-69.3632,36.48,94,45,2.39,GL,2022-07-28 03:49:31
6,Ponta Do Sol,32.6667,-17.1,73.71,74,0,5.91,PT,2022-07-28 03:50:42
7,Mufulira,-12.5498,28.2407,50.07,84,16,3.85,ZM,2022-07-28 03:50:42
8,Hobart,-42.8794,147.3294,53.06,62,93,4.0,AU,2022-07-28 03:50:42
9,Chuy,-33.6971,-53.4616,60.3,97,100,6.91,UY,2022-07-28 03:47:34
10,Punta Arenas,-53.15,-70.9167,39.31,75,20,26.46,CL,2022-07-28 03:50:43
11,Pevek,69.7008,170.3133,36.34,86,96,5.99,RU,2022-07-28 03:50:43
12,Mar Del Plata,-38.0023,-57.5575,51.1,57,100,15.99,AR,2022-07-28 03:50:43
13,Bethel,41.3712,-73.414,73.76,82,0,1.01,US,2022-07-28 03:48:06
14,Carnarvon,-24.8667,113.6333,74.66,47,100,4.16,AU,2022-07-28 03:48:36
15,Goderich,43.7501,-81.7165,73.72,83,0,11.5,CA,2022-07-28 03:50:44
16,Zhezkazgan,47.8043,67.7144,78.78,47,0,8.95,KZ,2022-07-28 03:50:45
17,Ballina,-28.8667,153.5667,68.02,54,0,4.92,AU,2022-07-28 03:50:45
18,Glasgow,55.8652,-4.2576,51.3,95,100,1.99,GB,2022-07-28 03:50:45
19,Ushuaia,-54.8,-68.3,40.66,81,75,18.41,AR,2022-07-28 03:47:06
20,Provideniya,64.3833,-173.3,44.71,100,100,7.0,RU,2022-07-28 03:48:13
21,Tomari,47.7658,142.0683,67.24,73,15,6.4,RU,2022-07-28 03:50:46
22,Puerto Ayora,-0.7393,-90.3518,68.56,98,98,5.99,EC,2022-07-28 03:50:47
23,Severo-Kurilsk,50.6789,156.125,54.93,88,96,5.91,RU,2022-07-28 03:50:47
24,Nanortalik,60.1432,-45.2371,42.3,85,97,9.48,GL,2022-07-28 03:48:06
25,Hermanus,-34.4187,19.2345,53.8,79,0,12.21,ZA,2022-07-28 03:50:47
26,Vostok,46.4856,135.8833,83.66,48,41,5.03,RU,2022-07-28 03:47:04
27,Saint-Leu,-21.15,55.2833,69.31,71,9,3.78,RE,2022-07-28 03:50:48
28,Chokurdakh,70.6333,147.9167,62.02,33,88,14.52,RU,2022-07-28 03:50:48
29,Kununurra,-15.7667,128.7333,80.58,18,5,10.36,AU,2022-07-28 03:50:33
30,Saint George,37.1041,-113.5841,74.62,75,40,8.05,US,2022-07-28 03:46:58
31,Kantunilkin,21.0917,-87.45,76.89,92,30,3.56,MX,2022-07-28 03:50:49
32,Kaitangata,-46.2817,169.8464,44.8,93,100,7.58,NZ,2022-07-28 03:50:40
33,Cape Town,-33.9258,18.4232,59.38,80,0,2.3,ZA,2022-07-28 03:47:16
34,Nikolskoye,59.7035,30.7861,61.88,75,0,4.56,RU,2022-07-28 03:49:43
35,Ribeira Grande,38.5167,-28.7,72.52,83,25,9.42,PT,2022-07-28 03:50:50
36,Jamestown,42.097,-79.2353,72.99,73,100,6.91,US,2022-07-28 03:50:28
37,Busselton,-33.65,115.3333,64.51,68,27,12.55,AU,2022-07-28 03:49:22
38,Merauke,-8.4667,140.3333,80.92,76,84,19.98,ID,2022-07-28 03:49:29
39,Bengkulu,-3.8004,102.2655,84.9,65,52,3.0,ID,2022-07-28 03:50:50
40,Saint-Francois,46.4154,3.9054,49.44,100,0,2.3,FR,2022-07-28 03:50:51
41,Dunedin,-45.8742,170.5036,45.81,91,100,13.0,NZ,2022-07-28 03:46:39
42,Saskylakh,71.9167,114.0833,74.19,51,84,8.21,RU,2022-07-28 03:50:51
43,Sao Jose Da Coroa Grande,-8.8978,-35.1478,72.19,87,65,5.12,BR,2022-07-28 03:50:51
44,Mahebourg,-20.4081,57.7,69.26,88,40,6.91,MU,2022-07-28 03:49:12
45,Klaksvik,62.2266,-6.589,52.72,91,89,14.2,FO,2022-07-28 03:51:52
46,Airai,-8.9266,125.4092,71.01,46,13,5.44,TL,2022-07-28 03:51:23
47,Kaeo,-35.1,173.7833,61.32,81,48,12.86,NZ,2022-07-28 03:51:52
48,Iqaluit,63.7506,-68.5145,47.93,81,75,0.0,CA,2022-07-28 03:51:53
49,Pachino,36.7186,15.0907,79.68,73,1,6.17,IT,2022-07-28 03:51:53
50,Inhambane,-23.865,35.3833,57.18,94,40,0.0,MZ,2022-07-28 03:51:53
51,Assiniboia,49.6334,-105.9845,60.62,59,34,6.91,CA,2022-07-28 03:51:54
52,Bluff,-46.6,168.3333,47.8,86,100,11.52,NZ,2022-07-28 03:51:54
53,Bilma,18.6853,12.9164,82.92,58,81,8.72,NE,2022-07-28 03:51:54
54,Vao,-22.6667,167.4833,69.57,67,100,7.9,NC,2022-07-28 03:51:55
55,Xuddur,4.1213,43.8894,67.41,80,41,16.31,SO,2022-07-28 03:51:55
56,New Norfolk,-42.7826,147.0587,52.72,70,97,3.0,AU,2022-07-28 03:47:55
57,Xai-Xai,-25.0519,33.6442,58.21,89,0,3.65,MZ,2022-07-28 03:51:55
58,Sacama,-3.9,-79.2667,46.0,95,84,5.1,EC,2022-07-28 03:51:56
59,Butaritari,3.0707,172.7902,81.84,78,11,12.53,KI,2022-07-28 03:51:56
60,Lebu,-37.6167,-73.65,48.58,85,21,4.79,CL,2022-07-28 03:49:12
61,Avarua,-21.2078,-159.775,77.05,69,40,12.66,CK,2022-07-28 03:48:05
62,Korba,22.35,82.6833,87.1,62,70,6.02,IN,2022-07-28 03:51:10
63,Victoria,22.2855,114.1577,92.03,72,0,5.01,HK,2022-07-28 03:51:53
64,Hithadhoo,-0.6,73.0833,82.8,73,100,11.79,MV,2022-07-28 03:51:57
65,Miles City,46.4083,-105.8406,70.77,28,0,8.05,US,2022-07-28 03:51:57
66,Gulariya,28.2333,81.3333,88.5,62,100,5.53,NP,2022-07-28 03:51:57
67,Salisbury,51.0693,-1.7957,59.97,79,100,6.51,GB,2022-07-28 03:51:58
68,Kroya,-7.6331,109.2461,83.3,70,63,6.42,ID,2022-07-28 03:51:58
69,Coos Bay,43.3665,-124.2179,63.0,96,100,6.91,US,2022-07-28 03:51:59
70,Fortuna,40.5982,-124.1573,58.93,84,7,1.01,US,2022-07-28 03:49:17
71,Kapaa,22.0752,-159.319,82.72,76,20,16.11,US,2022-07-28 03:51:59
72,Te Anau,-45.4167,167.7167,41.72,98,100,1.39,NZ,2022-07-28 03:51:36
73,Bambanglipuro,-7.95,110.2833,82.89,71,73,11.65,ID,2022-07-28 03:52:00
74,Hilo,19.7297,-155.09,85.28,78,40,9.22,US,2022-07-28 03:52:00
75,Lorengau,-2.0226,147.2712,83.91,75,45,12.8,PG,2022-07-28 03:52:00
76,Pervomayskiy,53.2485,40.2871,71.96,68,41,3.91,RU,2022-07-28 03:52:01
77,Port Elizabeth,-33.918,25.5701,57.31,98,75,3.0,ZA,2022-07-28 03:52:01
78,Talnakh,69.4865,88.3972,58.21,60,91,12.95,RU,2022-07-28 03:52:01
79,Mingaora,34.7758,72.3625,76.95,88,100,4.09,PK,2022-07-28 03:52:01
80,Kruisfontein,-34.0033,24.7314,51.73,91,2,5.12,ZA,2022-07-28 03:52:02
81,Rikitea,-23.1203,-134.9692,74.03,67,100,17.85,PF,2022-07-28 03:52:02
82,Champerico,14.3,-91.9167,78.82,82,66,4.63,GT,2022-07-28 03:52:02
83,Lompoc,34.6391,-120.4579,64.54,85,100,12.66,US,2022-07-28 03:50:07
84,Bowling Green,36.9903,-86.4436,75.15,95,100,3.44,US,2022-07-28 03:51:45
85,Prado,-17.3411,-39.2208,68.97,84,59,1.59,BR,2022-07-28 03:52:03
86,Ukiah,39.1502,-123.2078,87.69,23,0,6.91,US,2022-07-28 03:52:03
87,Kieta,-6.2167,155.6333,85.24,66,8,7.94,PG,2022-07-28 03:52:04
88,Nuuk,64.1835,-51.7216,40.05,94,82,11.81,GL,2022-07-28 03:52:04
89,Kayerkan,69.3497,87.7602,57.52,82,98,9.35,RU,2022-07-28 03:52:05
90,Challans,46.8436,-1.8749,62.8,66,91,4.7,FR,2022-07-28 03:52:05
91,Hambantota,6.1241,81.1185,77.34,100,20,4.61,LK,2022-07-28 03:52:05
92,Aklavik,68.2191,-135.0107,52.75,63,89,11.34,CA,2022-07-28 03:53:06
93,Geraldton,-28.7667,114.6,70.21,68,40,8.05,AU,2022-07-28 03:53:06
94,Vanimo,-2.6741,141.3028,84.81,70,64,9.86,PG,2022-07-28 03:48:12
95,Sterling,39.0062,-77.4286,79.57,90,0,5.01,US,2022-07-28 03:53:07
96,Daru,-9.0763,143.2092,78.12,88,43,19.55,PG,2022-07-28 03:53:07
97,Acapulco,16.8634,-99.8901,77.92,86,98,4.74,MX,2022-07-28 03:48:29
98,Mount Gambier,-37.8333,140.7667,51.62,74,97,7.94,AU,2022-07-28 03:53:08
99,Hofn,64.2539,-15.2082,52.68,98,100,18.99,IS,2022-07-28 03:53:08
100,Khatanga,71.9667,102.5,72.39,45,94,4.09,RU,2022-07-28 03:53:08
