City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
16,Zhezkazgan,KZ,78.78,47.8043,67.7144,Hotel Zumrat
26,Vostok,RU,83.66,46.4856,135.8833,
29,Kununurra,AU,80.58,-15.7667,128.7333,Hotel Kununurra
31,Kantunilkin,MX,76.89,21.0917,-87.45,Posada Paraiso
38,Merauke,ID,80.92,-8.4667,140.3333,
39,Bengkulu,ID,84.9,-3.8004,102.2655,Grage Hotel Bengkulu
49,Pachino,IT,79.68,36.7186,15.0907,Il Veliero
53,Bilma,NE,82.92,18.6853,12.9164,Expeditions Ténére voyages
59,Butaritari,KI,81.84,3.0707,172.7902,Isles Sunset Lodge
61,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
62,Korba,IN,87.1,22.35,82.6833,Hotel Deendayal
64,Hithadhoo,MV,82.8,-0.6,73.0833,Scoop Guest House
66,Gulariya,NP,88.5,28.2333,81.3333,PUJA TRADING
68,Kroya,ID,83.3,-7.6331,109.2461,Devina kost & Homestay Kroya
71,Kapaa,US,82.72,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Bambanglipuro,ID,82.89,-7.95,110.2833,Puri Brata
74,Hilo,US,85.28,19.7297,-155.09,Hilo Hawaiian Hotel
75,Lorengau,PG,83.91,-2.0226,147.2712,Lorengau Harbourside Hotel
79,Mingaora,PK,76.95,34.7758,72.3625,Burj Al Swat
82,Champerico,GT,78.82,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
84,Bowling Green,US,75.15,36.9903,-86.4436,Hilton Garden Inn Bowling Green
86,Ukiah,US,87.69,39.1502,-123.2078,Hampton Inn Ukiah
87,Kieta,PG,85.24,-6.2167,155.6333,Uruna Bay Retreat
91,Hambantota,LK,77.34,6.1241,81.1185,Bungalow 63
94,Vanimo,PG,84.81,-2.6741,141.3028,Vahmoneh Lodge Vanimo
95,Sterling,US,79.57,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
96,Daru,PG,78.12,-9.0763,143.2092,Daru Lodge
97,Acapulco,MX,77.92,16.8634,-99.8901,HS Hotsson Smart Acapulco
112,Zhangjiakou,CN,79.38,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
